com.liferay.counter.model.Counter,com.liferay.counter.kernel.model.Counter
com.liferay.portal.model.UserNotificationDeliveryWrapper,com.liferay.portal.kernel.model.UserNotificationDeliveryWrapper
com.liferay.portal.model.OrgLaborSoap,com.liferay.portal.kernel.model.OrgLaborSoap
com.liferay.portal.model.ResourcePermissionModel,com.liferay.portal.kernel.model.ResourcePermissionModel
com.liferay.portal.model.PasswordPolicyRelWrapper,com.liferay.portal.kernel.model.PasswordPolicyRelWrapper
com.liferay.portal.model.WorkflowInstanceLinkModel,com.liferay.portal.kernel.model.WorkflowInstanceLinkModel
com.liferay.portal.model.UserGroupGroupRole,com.liferay.portal.kernel.model.UserGroupGroupRole
com.liferay.portal.model.PortletSoap,com.liferay.portal.kernel.model.PortletSoap
com.liferay.portal.model.PasswordTracker,com.liferay.portal.kernel.model.PasswordTracker
com.liferay.portal.model.PasswordPolicyRelSoap,com.liferay.portal.kernel.model.PasswordPolicyRelSoap
com.liferay.portal.model.PortletCategoryConstants,com.liferay.portal.kernel.model.PortletCategoryConstants
com.liferay.portal.model.PortletPreferencesModel,com.liferay.portal.kernel.model.PortletPreferencesModel
com.liferay.portal.model.SubscriptionModel,com.liferay.portal.kernel.model.SubscriptionModel
com.liferay.portal.model.EmailAddressWrapper,com.liferay.portal.kernel.model.EmailAddressWrapper
com.liferay.portal.model.ImageModel,com.liferay.portal.kernel.model.ImageModel
com.liferay.portal.model.PortletCategory,com.liferay.portal.kernel.model.PortletCategory
com.liferay.portal.model.ModelHintsConstants,com.liferay.portal.kernel.model.ModelHintsConstants
com.liferay.portal.model.TypedModel,com.liferay.portal.kernel.model.TypedModel
com.liferay.portal.model.ReleaseWrapper,com.liferay.portal.kernel.model.ReleaseWrapper
com.liferay.portal.model.ContactSoap,com.liferay.portal.kernel.model.ContactSoap
com.liferay.portal.model.AuditedModel,com.liferay.portal.kernel.model.AuditedModel
com.liferay.portal.model.EventDefinition,com.liferay.portal.kernel.model.EventDefinition
com.liferay.portal.model.LayoutSetBranchModel,com.liferay.portal.kernel.model.LayoutSetBranchModel
com.liferay.portal.model.LayoutSetPrototypeWrapper,com.liferay.portal.kernel.model.LayoutSetPrototypeWrapper
com.liferay.portal.model.PortletPreferences,com.liferay.portal.kernel.model.PortletPreferences
com.liferay.portal.model.SystemEventModel,com.liferay.portal.kernel.model.SystemEventModel
com.liferay.portal.model.LayoutFriendlyURLComposite,com.liferay.portal.kernel.model.LayoutFriendlyURLComposite
com.liferay.portal.model.LayoutSetModel,com.liferay.portal.kernel.model.LayoutSetModel
com.liferay.portal.model.PortletItemWrapper,com.liferay.portal.kernel.model.PortletItemWrapper
com.liferay.portal.model.AttachedModel,com.liferay.portal.kernel.model.AttachedModel
com.liferay.portal.model.OrganizationWrapper,com.liferay.portal.kernel.model.OrganizationWrapper
com.liferay.portal.model.DummyModel,com.liferay.portal.kernel.model.DummyModel
com.liferay.portal.model.ContactModel,com.liferay.portal.kernel.model.ContactModel
com.liferay.portal.model.PhoneWrapper,com.liferay.portal.kernel.model.PhoneWrapper
com.liferay.portal.model.CacheField,com.liferay.portal.kernel.model.CacheField
com.liferay.portal.model.UserNotificationDeliveryConstants,com.liferay.portal.kernel.model.UserNotificationDeliveryConstants
com.liferay.portal.model.StagedAuditedModel,com.liferay.portal.kernel.model.StagedAuditedModel
com.liferay.portal.model.PersistedModel,com.liferay.portal.kernel.model.PersistedModel
com.liferay.portal.model.WebDAVPropsSoap,com.liferay.portal.kernel.model.WebDAVPropsSoap
com.liferay.portal.model.PortletItemModel,com.liferay.portal.kernel.model.PortletItemModel
com.liferay.portal.model.Team,com.liferay.portal.kernel.model.Team
com.liferay.portal.model.UserTrackerPathSoap,com.liferay.portal.kernel.model.UserTrackerPathSoap
com.liferay.portal.model.PasswordPolicyConstants,com.liferay.portal.kernel.model.PasswordPolicyConstants
com.liferay.portal.model.ResourceBlockSoap,com.liferay.portal.kernel.model.ResourceBlockSoap
com.liferay.portal.model.ResourceConstants,com.liferay.portal.kernel.model.ResourceConstants
com.liferay.portal.model.LayoutWrapper,com.liferay.portal.kernel.model.LayoutWrapper
com.liferay.portal.model.LayoutPrototypeModel,com.liferay.portal.kernel.model.LayoutPrototypeModel
com.liferay.portal.model.UserGroupWrapper,com.liferay.portal.kernel.model.UserGroupWrapper
com.liferay.portal.model.TicketConstants,com.liferay.portal.kernel.model.TicketConstants
com.liferay.portal.model.LayoutSetStagingHandler,com.liferay.portal.kernel.model.LayoutSetStagingHandler
com.liferay.portal.model.SpriteImage,com.liferay.portal.kernel.model.SpriteImage
com.liferay.portal.model.RepositoryEntrySoap,com.liferay.portal.kernel.model.RepositoryEntrySoap
com.liferay.portal.model.ReleaseModel,com.liferay.portal.kernel.model.ReleaseModel
com.liferay.portal.model.ModelHintsUtil,com.liferay.portal.kernel.model.ModelHintsUtil
com.liferay.portal.model.ResourceActionSoap,com.liferay.portal.kernel.model.ResourceActionSoap
com.liferay.portal.model.LayoutFriendlyURLWrapper,com.liferay.portal.kernel.model.LayoutFriendlyURLWrapper
com.liferay.portal.model.AddressModel,com.liferay.portal.kernel.model.AddressModel
com.liferay.portal.model.PasswordPolicyModel,com.liferay.portal.kernel.model.PasswordPolicyModel
com.liferay.portal.model.OrgGroupRoleWrapper,com.liferay.portal.kernel.model.OrgGroupRoleWrapper
com.liferay.portal.model.UserIdMapper,com.liferay.portal.kernel.model.UserIdMapper
com.liferay.portal.model.PortletPreferencesWrapper,com.liferay.portal.kernel.model.PortletPreferencesWrapper
com.liferay.portal.model.CompanyModel,com.liferay.portal.kernel.model.CompanyModel
com.liferay.portal.model.ResourceActionModel,com.liferay.portal.kernel.model.ResourceActionModel
com.liferay.portal.model.PluginSettingModel,com.liferay.portal.kernel.model.PluginSettingModel
com.liferay.portal.model.WebsiteModel,com.liferay.portal.kernel.model.WebsiteModel
com.liferay.portal.model.LayoutFriendlyURLModel,com.liferay.portal.kernel.model.LayoutFriendlyURLModel
com.liferay.portal.model.ClassNameSoap,com.liferay.portal.kernel.model.ClassNameSoap
com.liferay.portal.model.LayoutReference,com.liferay.portal.kernel.model.LayoutReference
com.liferay.portal.model.BrowserTrackerSoap,com.liferay.portal.kernel.model.BrowserTrackerSoap
com.liferay.portal.model.ResourceBlockPermissionModel,com.liferay.portal.kernel.model.ResourceBlockPermissionModel
com.liferay.portal.model.WorkflowDefinitionLinkSoap,com.liferay.portal.kernel.model.WorkflowDefinitionLinkSoap
com.liferay.portal.model.UserGroup,com.liferay.portal.kernel.model.UserGroup
com.liferay.portal.model.UserTrackerPath,com.liferay.portal.kernel.model.UserTrackerPath
com.liferay.portal.model.VirtualHost,com.liferay.portal.kernel.model.VirtualHost
com.liferay.portal.model.Dummy,com.liferay.portal.kernel.model.Dummy
com.liferay.portal.model.Permission,com.liferay.portal.kernel.model.Permission
com.liferay.portal.model.PortalPreferencesModel,com.liferay.portal.kernel.model.PortalPreferencesModel
com.liferay.portal.model.ClusterGroupModel,com.liferay.portal.kernel.model.ClusterGroupModel
com.liferay.portal.model.MembershipRequestWrapper,com.liferay.portal.kernel.model.MembershipRequestWrapper
com.liferay.portal.model.ClassNameWrapper,com.liferay.portal.kernel.model.ClassNameWrapper
com.liferay.portal.model.ResourcePermissionWrapper,com.liferay.portal.kernel.model.ResourcePermissionWrapper
com.liferay.portal.model.ModelListener,com.liferay.portal.kernel.model.ModelListener
com.liferay.portal.model.LayoutModel,com.liferay.portal.kernel.model.LayoutModel
com.liferay.portal.model.UserIdMapperSoap,com.liferay.portal.kernel.model.UserIdMapperSoap
com.liferay.portal.model.ServiceComponentWrapper,com.liferay.portal.kernel.model.ServiceComponentWrapper
com.liferay.portal.model.WorkflowedModel,com.liferay.portal.kernel.model.WorkflowedModel
com.liferay.portal.model.UserIdMapperModel,com.liferay.portal.kernel.model.UserIdMapperModel
com.liferay.portal.model.ListTypeModel,com.liferay.portal.kernel.model.ListTypeModel
com.liferay.portal.model.LayoutSetPrototypeModel,com.liferay.portal.kernel.model.LayoutSetPrototypeModel
com.liferay.portal.model.WorkflowInstanceLinkSoap,com.liferay.portal.kernel.model.WorkflowInstanceLinkSoap
com.liferay.portal.model.WebDAVPropsModel,com.liferay.portal.kernel.model.WebDAVPropsModel
com.liferay.portal.model.LayoutBranchConstants,com.liferay.portal.kernel.model.LayoutBranchConstants
com.liferay.portal.model.ClusterGroup,com.liferay.portal.kernel.model.ClusterGroup
com.liferay.portal.model.OrganizationConstants,com.liferay.portal.kernel.model.OrganizationConstants
com.liferay.portal.model.Phone,com.liferay.portal.kernel.model.Phone
com.liferay.portal.model.ClassedModel,com.liferay.portal.kernel.model.ClassedModel
com.liferay.portal.model.LayoutTemplate,com.liferay.portal.kernel.model.LayoutTemplate
com.liferay.portal.model.UserIdMapperWrapper,com.liferay.portal.kernel.model.UserIdMapperWrapper
com.liferay.portal.model.UserTrackerPathModel,com.liferay.portal.kernel.model.UserTrackerPathModel
com.liferay.portal.model.Ticket,com.liferay.portal.kernel.model.Ticket
com.liferay.portal.model.UserTrackerWrapper,com.liferay.portal.kernel.model.UserTrackerWrapper
com.liferay.portal.model.Website,com.liferay.portal.kernel.model.Website
com.liferay.portal.model.CountrySoap,com.liferay.portal.kernel.model.CountrySoap
com.liferay.portal.model.LayoutRevisionWrapper,com.liferay.portal.kernel.model.LayoutRevisionWrapper
com.liferay.portal.model.ResourceBlockConstants,com.liferay.portal.kernel.model.ResourceBlockConstants
com.liferay.portal.model.RoleModel,com.liferay.portal.kernel.model.RoleModel
com.liferay.portal.model.CountryModel,com.liferay.portal.kernel.model.CountryModel
com.liferay.portal.model.PluginSetting,com.liferay.portal.kernel.model.PluginSetting
com.liferay.portal.model.PasswordPolicySoap,com.liferay.portal.kernel.model.PasswordPolicySoap
com.liferay.portal.model.Group,com.liferay.portal.kernel.model.Group
com.liferay.portal.model.BrowserTrackerModel,com.liferay.portal.kernel.model.BrowserTrackerModel
com.liferay.portal.model.LayoutSetBranchWrapper,com.liferay.portal.kernel.model.LayoutSetBranchWrapper
com.liferay.portal.model.UserWrapper,com.liferay.portal.kernel.model.UserWrapper
com.liferay.portal.model.CacheModel,com.liferay.portal.kernel.model.CacheModel
com.liferay.portal.model.CountryConstants,com.liferay.portal.kernel.model.CountryConstants
com.liferay.portal.model.BrowserTrackerWrapper,com.liferay.portal.kernel.model.BrowserTrackerWrapper
com.liferay.portal.model.CompanySoap,com.liferay.portal.kernel.model.CompanySoap
com.liferay.portal.model.BaseModel,com.liferay.portal.kernel.model.BaseModel
com.liferay.portal.model.LayoutBranchModel,com.liferay.portal.kernel.model.LayoutBranchModel
com.liferay.portal.model.LayoutFriendlyURLSoap,com.liferay.portal.kernel.model.LayoutFriendlyURLSoap
com.liferay.portal.model.WorkflowInstanceLink,com.liferay.portal.kernel.model.WorkflowInstanceLink
com.liferay.portal.model.ResourcePermission,com.liferay.portal.kernel.model.ResourcePermission
com.liferay.portal.model.Role,com.liferay.portal.kernel.model.Role
com.liferay.portal.model.TeamSoap,com.liferay.portal.kernel.model.TeamSoap
com.liferay.portal.model.VirtualHostWrapper,com.liferay.portal.kernel.model.VirtualHostWrapper
com.liferay.portal.model.BackgroundTask,com.liferay.portal.kernel.backgroundtask.BackgroundTask
com.liferay.portal.model.WorkflowDefinitionLinkWrapper,com.liferay.portal.kernel.model.WorkflowDefinitionLinkWrapper
com.liferay.portal.model.ResourceTypePermission,com.liferay.portal.kernel.model.ResourceTypePermission
com.liferay.portal.model.ResourceBlockPermission,com.liferay.portal.kernel.model.ResourceBlockPermission
com.liferay.portal.model.CustomizedPages,com.liferay.portal.kernel.model.CustomizedPages
com.liferay.portal.model.UserGroupConstants,com.liferay.portal.kernel.model.UserGroupConstants
com.liferay.portal.model.Subscription,com.liferay.portal.kernel.model.Subscription
com.liferay.portal.model.UserConstants,com.liferay.portal.kernel.model.UserConstants
com.liferay.portal.model.RepositorySoap,com.liferay.portal.kernel.model.RepositorySoap
com.liferay.portal.model.LayoutTypePortletConstants,com.liferay.portal.kernel.model.LayoutTypePortletConstants
com.liferay.portal.model.RepositoryModel,com.liferay.portal.kernel.model.RepositoryModel
com.liferay.portal.model.UserNotificationEvent,com.liferay.portal.kernel.model.UserNotificationEvent
com.liferay.portal.model.UserGroupSoap,com.liferay.portal.kernel.model.UserGroupSoap
com.liferay.portal.model.PluginSettingSoap,com.liferay.portal.kernel.model.PluginSettingSoap
com.liferay.portal.model.PhoneSoap,com.liferay.portal.kernel.model.PhoneSoap
com.liferay.portal.model.ContactConstants,com.liferay.portal.kernel.model.ContactConstants
com.liferay.portal.model.AccountSoap,com.liferay.portal.kernel.model.AccountSoap
com.liferay.portal.model.PluginSettingWrapper,com.liferay.portal.kernel.model.PluginSettingWrapper
com.liferay.portal.model.LayoutPrototype,com.liferay.portal.kernel.model.LayoutPrototype
com.liferay.portal.model.ResourceActionWrapper,com.liferay.portal.kernel.model.ResourceActionWrapper
com.liferay.portal.model.TeamModel,com.liferay.portal.kernel.model.TeamModel
com.liferay.portal.model.TrashedModel,com.liferay.portal.kernel.model.TrashedModel
com.liferay.portal.model.VirtualHostModel,com.liferay.portal.kernel.model.VirtualHostModel
com.liferay.portal.model.Contact,com.liferay.portal.kernel.model.Contact
com.liferay.portal.model.LayoutSet,com.liferay.portal.kernel.model.LayoutSet
com.liferay.portal.model.RegionSoap,com.liferay.portal.kernel.model.RegionSoap
com.liferay.portal.model.WorkflowDefinitionLink,com.liferay.portal.kernel.model.WorkflowDefinitionLink
com.liferay.portal.model.OrgGroupRole,com.liferay.portal.kernel.model.OrgGroupRole
com.liferay.portal.model.ResourceTypePermissionSoap,com.liferay.portal.kernel.model.ResourceTypePermissionSoap
com.liferay.portal.model.Country,com.liferay.portal.kernel.model.Country
com.liferay.portal.model.SystemEvent,com.liferay.portal.kernel.model.SystemEvent
com.liferay.portal.model.PortletItemSoap,com.liferay.portal.kernel.model.PortletItemSoap
com.liferay.portal.model.RegionModel,com.liferay.portal.kernel.model.RegionModel
com.liferay.portal.model.RegionConstants,com.liferay.portal.kernel.model.RegionConstants
com.liferay.portal.model.UserTrackerPathWrapper,com.liferay.portal.kernel.model.UserTrackerPathWrapper
com.liferay.portal.model.PortletItem,com.liferay.portal.kernel.model.PortletItem
com.liferay.portal.model.UserGroupGroupRoleWrapper,com.liferay.portal.kernel.model.UserGroupGroupRoleWrapper
com.liferay.portal.model.ResourcePermissionConstants,com.liferay.portal.kernel.model.ResourcePermissionConstants
com.liferay.portal.model.PortletPreferencesIds,com.liferay.portal.kernel.model.PortletPreferencesIds
com.liferay.portal.model.LayoutConstants,com.liferay.portal.kernel.model.LayoutConstants
com.liferay.portal.model.LayoutQueryStringComposite,com.liferay.portal.kernel.model.LayoutQueryStringComposite
com.liferay.portal.model.Plugin,com.liferay.portal.kernel.model.Plugin
com.liferay.portal.model.TeamWrapper,com.liferay.portal.kernel.model.TeamWrapper
com.liferay.portal.model.ThemeSetting,com.liferay.portal.kernel.model.ThemeSetting
com.liferay.portal.model.LayoutType,com.liferay.portal.kernel.model.LayoutType
com.liferay.portal.model.LayoutPrototypeSoap,com.liferay.portal.kernel.model.LayoutPrototypeSoap
com.liferay.portal.model.Company,com.liferay.portal.kernel.model.Company
com.liferay.portal.model.LayoutSoap,com.liferay.portal.kernel.model.LayoutSoap
com.liferay.portal.model.LayoutSetPrototype,com.liferay.portal.kernel.model.LayoutSetPrototype
com.liferay.portal.model.LayoutSetSoap,com.liferay.portal.kernel.model.LayoutSetSoap
com.liferay.portal.model.ClusterGroupSoap,com.liferay.portal.kernel.model.ClusterGroupSoap
com.liferay.portal.model.PublicRenderParameter,com.liferay.portal.kernel.model.PublicRenderParameter
com.liferay.portal.model.UserGroupModel,com.liferay.portal.kernel.model.UserGroupModel
com.liferay.portal.model.SiteConstants,com.liferay.portal.kernel.model.SiteConstants
com.liferay.portal.model.Account,com.liferay.portal.kernel.model.Account
com.liferay.portal.model.UserGroupGroupRoleSoap,com.liferay.portal.kernel.model.UserGroupGroupRoleSoap
com.liferay.portal.model.UserTracker,com.liferay.portal.kernel.model.UserTracker
com.liferay.portal.model.RepositoryEntryModel,com.liferay.portal.kernel.model.RepositoryEntryModel
com.liferay.portal.model.OrgLaborWrapper,com.liferay.portal.kernel.model.OrgLaborWrapper
com.liferay.portal.model.PortletApp,com.liferay.portal.kernel.model.PortletApp
com.liferay.portal.model.PasswordPolicyRel,com.liferay.portal.kernel.model.PasswordPolicyRel
com.liferay.portal.model.ResourceTypePermissionModel,com.liferay.portal.kernel.model.ResourceTypePermissionModel
com.liferay.portal.model.MembershipRequest,com.liferay.portal.kernel.model.MembershipRequest
com.liferay.portal.model.PhoneModel,com.liferay.portal.kernel.model.PhoneModel
com.liferay.portal.model.UserModel,com.liferay.portal.kernel.model.UserModel
com.liferay.portal.model.EmailAddressSoap,com.liferay.portal.kernel.model.EmailAddressSoap
com.liferay.portal.model.PortletConstants,com.liferay.portal.kernel.model.PortletConstants
com.liferay.portal.model.StagedModel,com.liferay.portal.kernel.model.StagedModel
com.liferay.portal.model.GroupModel,com.liferay.portal.kernel.model.GroupModel
com.liferay.portal.model.ListTypeWrapper,com.liferay.portal.kernel.model.ListTypeWrapper
com.liferay.portal.model.Layout,com.liferay.portal.kernel.model.Layout
com.liferay.portal.model.Release,com.liferay.portal.kernel.model.Release
com.liferay.portal.model.ModelWrapper,com.liferay.portal.kernel.model.ModelWrapper
com.liferay.portal.model.BaseModelListener,com.liferay.portal.kernel.model.BaseModelListener
com.liferay.portal.model.PortalPreferencesSoap,com.liferay.portal.kernel.model.PortalPreferencesSoap
com.liferay.portal.model.TicketWrapper,com.liferay.portal.kernel.model.TicketWrapper
com.liferay.portal.model.CompanyWrapper,com.liferay.portal.kernel.model.CompanyWrapper
com.liferay.portal.model.UserGroupRoleModel,com.liferay.portal.kernel.model.UserGroupRoleModel
com.liferay.portal.model.MembershipRequestModel,com.liferay.portal.kernel.model.MembershipRequestModel
com.liferay.portal.model.PortletURLListener,com.liferay.portal.kernel.model.PortletURLListener
com.liferay.portal.model.ReleaseSoap,com.liferay.portal.kernel.model.ReleaseSoap
com.liferay.portal.model.UserSoap,com.liferay.portal.kernel.model.UserSoap
com.liferay.portal.model.Region,com.liferay.portal.kernel.model.Region
com.liferay.portal.model.ClassName,com.liferay.portal.kernel.model.ClassName
com.liferay.portal.model.TicketModel,com.liferay.portal.kernel.model.TicketModel
com.liferay.portal.model.ImageSoap,com.liferay.portal.kernel.model.ImageSoap
com.liferay.portal.model.ListTypeSoap,com.liferay.portal.kernel.model.ListTypeSoap
com.liferay.portal.model.User,com.liferay.portal.kernel.model.User
com.liferay.portal.model.WebDAVPropsWrapper,com.liferay.portal.kernel.model.WebDAVPropsWrapper
com.liferay.portal.model.ListType,com.liferay.portal.kernel.model.ListType
com.liferay.portal.model.ServiceComponentModel,com.liferay.portal.kernel.model.ServiceComponentModel
com.liferay.portal.model.SubscriptionConstants,com.liferay.portal.kernel.model.SubscriptionConstants
com.liferay.portal.model.PermissionedModel,com.liferay.portal.kernel.model.PermissionedModel
com.liferay.portal.model.Repository,com.liferay.portal.kernel.model.Repository
com.liferay.portal.model.OrgGroupRoleModel,com.liferay.portal.kernel.model.OrgGroupRoleModel
com.liferay.portal.model.Address,com.liferay.portal.kernel.model.Address
com.liferay.portal.model.LayoutSetBranchSoap,com.liferay.portal.kernel.model.LayoutSetBranchSoap
com.liferay.portal.model.ResourceBlockModel,com.liferay.portal.kernel.model.ResourceBlockModel
com.liferay.portal.model.EmailAddressModel,com.liferay.portal.kernel.model.EmailAddressModel
com.liferay.portal.model.OrganizationSoap,com.liferay.portal.kernel.model.OrganizationSoap
com.liferay.portal.model.ResourceBlock,com.liferay.portal.kernel.model.ResourceBlock
com.liferay.portal.model.AccountConstants,com.liferay.portal.kernel.model.AccountConstants
com.liferay.portal.model.ContainerModel,com.liferay.portal.kernel.model.ContainerModel
com.liferay.portal.model.LayoutFriendlyURL,com.liferay.portal.kernel.model.LayoutFriendlyURL
com.liferay.portal.model.WebDAVProps,com.liferay.portal.kernel.model.WebDAVProps
com.liferay.portal.model.PortalPreferences,com.liferay.portal.kernel.model.PortalPreferences
com.liferay.portal.model.UserTrackerSoap,com.liferay.portal.kernel.model.UserTrackerSoap
com.liferay.portal.model.OrgLabor,com.liferay.portal.kernel.model.OrgLabor
com.liferay.portal.model.PermissionDisplay,com.liferay.portal.kernel.model.PermissionDisplay
com.liferay.portal.model.VirtualLayoutConstants,com.liferay.portal.kernel.model.VirtualLayoutConstants
com.liferay.portal.model.BrowserTracker,com.liferay.portal.kernel.model.BrowserTracker
com.liferay.portal.model.StagedGroupedModel,com.liferay.portal.kernel.model.StagedGroupedModel
com.liferay.portal.model.RepositoryWrapper,com.liferay.portal.kernel.model.RepositoryWrapper
com.liferay.portal.model.PortletFilter,com.liferay.portal.kernel.model.PortletFilter
com.liferay.portal.model.TreeModel,com.liferay.portal.kernel.model.TreeModel
com.liferay.portal.model.LayoutSetBranchConstants,com.liferay.portal.kernel.model.LayoutSetBranchConstants
com.liferay.portal.model.SystemEventWrapper,com.liferay.portal.kernel.model.SystemEventWrapper
com.liferay.portal.model.ResourcePermissionSoap,com.liferay.portal.kernel.model.ResourcePermissionSoap
com.liferay.portal.model.UserGroupRoleSoap,com.liferay.portal.kernel.model.UserGroupRoleSoap
com.liferay.portal.model.PortletPreferencesSoap,com.liferay.portal.kernel.model.PortletPreferencesSoap
com.liferay.portal.model.SubscriptionWrapper,com.liferay.portal.kernel.model.SubscriptionWrapper
com.liferay.portal.model.ImageConstants,com.liferay.portal.kernel.model.ImageConstants
com.liferay.portal.model.Location,com.liferay.portal.kernel.model.Location
